zcta,year,month,desc_crime_type,count,population,city,rate
78703,2017,May,drugs,1.1804330062221158,20788,austin,5.678434703781584
78703,2017,May,other,63.99388887579322,20788,austin,307.8405275918473
78703,2017,May,sex crimes,0.007281062561136282,20788,austin,0.03502531537972042
78703,2017,May,theft,29.82769378978862,20788,austin,143.48515388584096
78703,2017,Jun,assault,6.1514500071682345,20788,austin,29.591350813778305
78703,2017,Jun,burglary,28.10015358091174,20788,austin,135.1748777223001
78703,2017,Jun,drugs,5.277384242820804,20788,austin,25.38668579382723
78703,2017,Jun,other,62.94345936951545,20788,austin,302.78747050950284
78703,2017,Jun,robbery,5.842815289715255e-4,20788,austin,0.002810667351219576
78703,2017,Jun,sex crimes,0.9332354713091952,20788,austin,4.489298976857779
78703,2017,Jun,theft,28.780645512403684,20788,austin,138.44836209545738
78703,2017,Jun,weapon,5.842815289715255e-4,20788,austin,0.002810667351219576
78703,2017,Jul,assault,4.551464171180162,20788,austin,21.894670825380807
78703,2017,Jul,burglary,16.491854563698666,20788,austin,79.33353167066898
78703,2017,Jul,drugs,3.191541560387111,20788,austin,15.35280719832168
78703,2017,Jul,other,75.87524284986341,20788,austin,364.9953956603012
78703,2017,Jul,robbery,0.006828665708387159,20788,austin,0.03284907498743101
78703,2017,Jul,sex crimes,0.017891661384754436,20788,austin,0.08606725699804905
78703,2017,Jul,theft,32.14441960878266,20788,austin,154.6296883239497
78703,2017,Jul,weapon,0.17430525124557986,20788,austin,0.8384897596958816
78703,2017,Aug,arson,0.0010235374210423606,20788,austin,0.004923693578229559
78703,2017,Aug,assault,11.518496179013416,20788,austin,55.40935241010879
78703,2017,Aug,burglary,25.83431519917427,20788,austin,124.27513565121355
78703,2017,Aug,drugs,1.9895741912857585,20788,austin,9.570782140108516
78703,2017,Aug,other,61.89544333801104,20788,austin,297.7460233693046
78703,2017,Aug,sex crimes,0.006228146211914311,20788,austin,0.02996029542002266
78703,2017,Aug,theft,21.888526211159462,20788,austin,105.29404565691486
78703,2017,Aug,weapon,0.006228146211914311,20788,austin,0.02996029542002266
78703,2017,Sep,assault,5.611872527692415,20788,austin,26.99573084323848
78703,2017,Sep,burglary,12.473080209946508,20788,austin,60.00134794086256
78703,2017,Sep,drugs,1.1677819544522896,20788,austin,5.617577229422213
78703,2017,Sep,other,63.37417519853237,20788,austin,304.8594150400826
78703,2017,Sep,robbery,4.838902937997969e-4,20788,austin,0.002327738569365965
78703,2017,Sep,sex crimes,1.2588501857803551,20788,austin,6.0556580035614544
78703,2017,Sep,theft,27.817109707893593,20788,austin,133.8133043481508
78703,2017,Sep,weapon,4.838902937997969e-4,20788,austin,0.002327738569365965
78703,2017,Oct,assault,10.533705642193583,20788,austin,50.67204946215886
78703,2017,Oct,burglary,34.43609639284549,20788,austin,165.65372519167545
78703,2017,Oct,drugs,1.049351584144387,20788,austin,5.047871772870825
78703,2017,Oct,other,78.52953766287975,20788,austin,377.7637947993061
78703,2017,Oct,robbery,0.9928630427495585,20788,austin,4.776135475993644
78703,2017,Oct,sex crimes,3.035579272957994,20788,austin,14.602555671339204
78703,2017,Oct,theft,27.283237271551602,20788,austin,131.2451283026342
78703,2017,Oct,weapon,1.1675921458999705,20788,austin,5.616664161535359
78703,2017,Nov,assault,7.7481636273680445,20788,austin,37.27228991421996
78703,2017,Nov,burglary,20.240717210498595,20788,austin,97.36731388540791
78703,2017,Nov,drugs,2.000732688581083,20788,austin,9.624459729560723
78703,2017,Nov,other,80.18911757616424,20788,austin,385.74715016434595
78703,2017,Nov,robbery,1.7947744719524548,20788,austin,8.633704406159588
78703,2017,Nov,sex crimes,2.0261711572164742,20788,austin,9.746830658151215
78703,2017,Nov,theft,25.689136767381655,20788,austin,123.57675951213034
78703,2017,Nov,weapon,5.842815289715255e-4,20788,austin,0.002810667351219576
78703,2017,Dec,assault,4.368142763369938,20788,austin,21.012809136857502
78703,2017,Dec,burglary,22.820039745122426,20788,austin,109.77506130999821
78703,2017,Dec,drugs,1.7028989688462912,20788,austin,8.191740277305616
78703,2017,Dec,other,74.56632627665334,20788,austin,358.6988949232891
78703,2017,Dec,sex crimes,0.14940162951422023,20788,austin,0.7186916947961335
78703,2017,Dec,theft,35.64071551486582,20788,austin,171.44850642132874
78703,2017,Dec,weapon,0.003613381616375376,20788,austin,0.0173820551105223
78703,2018,Jan,assault,4.278863268723185,20890,austin,20.482830391207205
78703,2018,Jan,burglary,15.131651118745136,20890,austin,72.4349024353525
78703,2018,Jan,drugs,2.373277976415929,20890,austin,11.36083282152192
78703,2018,Jan,other,74.22389599951438,20890,austin,355.30826232414734
78703,2018,Jan,robbery,0.9999763781632596,20890,austin,4.786866338742267
78703,2018,Jan,sex crimes,0.9904258133397996,20890,austin,4.7411479815213005
78703,2018,Jan,theft,42.22885961308562,20890,austin,202.14868172850942
78703,2018,Jan,weapon,0.006244384179415634,20890,austin,0.029891738532386948
78703,2018,Feb,assault,7.094146414402951,20890,austin,33.95953285975563
78703,2018,Feb,burglary,26.493369483360617,20890,austin,126.82321437702547
78703,2018,Feb,drugs,4.0981737795287065,20890,austin,19.617873525747758
78703,2018,Feb,other,57.423378712963036,20890,austin,274.88453189546686
78703,2018,Feb,robbery,1.1558463702974098,20890,austin,5.5330127826587345
78703,2018,Feb,sex crimes,0.8196576688347191,20890,austin,3.9236843888689283
78703,2018,Feb,theft,31.925507549785216,20890,austin,152.82674748580766
78703,2018,Feb,weapon,1.6237967501322744e-5,20890,austin,7.773081618632237e-5
78703,2018,Mar,arson,4.838902937997969e-4,20890,austin,0.002316372876016261
78703,2018,Mar,assault,4.831459384836646,20890,austin,23.12809662439754
78703,2018,Mar,burglary,30.28459287729269,20890,austin,144.97172272519236
78703,2018,Mar,drugs,3.041813455118766,20890,austin,14.561098396930428
78703,2018,Mar,other,73.54855640427814,20890,austin,352.0754255829495
78703,2018,Mar,robbery,0.006228146211914311,20890,austin,0.02981400771620063
78703,2018,Mar,sex crimes,0.018684438635742935,20890,austin,0.08944202314860189
78703,2018,Mar,theft,41.495077295935104,20890,austin,198.63608088049358
78703,2018,Mar,weapon,1.0062281462119114,20890,austin,4.816793423704698
78703,2018,Apr,arson,9.677805875995938e-4,20890,austin,0.004632745752032522
78703,2018,Apr,assault,8.986916129837136,20890,austin,43.0201825267455
78703,2018,Apr,burglary,38.895181781607974,20890,austin,186.19043456968873
78703,2018,Apr,drugs,1.0130232671443482,20890,austin,4.849321527737425
78703,2018,Apr,other,63.27633245611069,20890,austin,302.9025009866476
78703,2018,Apr,sex crimes,1.1207060354052618,20890,austin,5.36479672285908
78703,2018,Apr,theft,35.64572932734589,20890,austin,170.63537255790277
